field,value
report_generated_at,2026-03-25
data_version,v6.0
pilot_id,LPA-01
lpa_name,Manchester City Council
lpa_type,Metropolitan District
cohort,Cohort 1
peer_group,High-growth urban authorities
region,North West
growth_context,High growth urban
constraint_profile,Transport capacity and urban form constraints
data_quality_tier,A
coverage_score,92
total_linked_issues,9
high_severity_issues,4
primary_risk_stage,Legal Agreements
major_in_time_pct_provenance,official
appeals_overturned_pct_provenance,official
issue_incidence_provenance,estimated
data_quality_provenance,estimated
validation_rework_proxy,12.5
delegated_ratio_proxy,83.4
plan_age_years,13.7
consultation_lag_proxy,3.6
backlog_pressure,83.3
analytical_confidence,high
latest_trend_source_table,P151/P152
latest_trend_source_url,https://www.gov.uk/government/statistical-data-sets/live-tables-on-planning-application-statistics
